feature,constitution,pearson_r,abs_r
AvgP,BSC,0.272646196394906,0.272646196394906
MaxP,BSC,0.26415205717660933,0.26415205717660933
MinP,BSC,0.25154681072405394,0.25154681072405394
AvgP,YiDC,0.2162702265306993,0.2162702265306993
MaxP,YiDC,0.21137794673642266,0.21137794673642266
RET L,SDC,-0.20768456814476094,0.20768456814476094
Intensity,BSC,-0.20730861413823057,0.20730861413823057
RET_R,DHC,-0.20525162356164478,0.20525162356164478
h2LBM,YaDC,-0.19792673364306765,0.19792673364306765
MaxP,YaDC,0.18965472519205978,0.18965472519205978
RET L,DHC,-0.17858387386439953,0.17858387386439953
tSA_LBM,YaDC,-0.17661450764696907,0.17661450764696907
ANZC,BSC,-0.17651127714395173,0.17651127714395173
G,BSC,0.17645104811914106,0.17645104811914106
ANZC,QDC,-0.1763209204499054,0.1763209204499054
RET_R,SDC,-0.17622103579366172,0.17622103579366172
b,YaDC,0.17600720919466195,0.17600720919466195
AvgP,YaDC,0.17458590498843662,0.17458590498843662
Intensity,QSC,-0.17266072003165855,0.17266072003165855
sSA_LBM,YaDC,-0.16877803629040303,0.16877803629040303
Proportion of scalloped tongue margin,BSC,0.16507924312302322,0.16507924312302322
MinP,YiDC,0.16221771433885465,0.16221771433885465
sSA_LBD,YaDC,-0.1617417212341239,0.1617417212341239
B,BSC,0.16059714248593326,0.16059714248593326
h2LBD,YaDC,-0.15704501829280124,0.15704501829280124
tSA_LBD,YaDC,-0.15682097327631056,0.15682097327631056
Intensity,YiDC,-0.15285412676428664,0.15285412676428664
sSA_LBD,QDC,-0.15034320451600847,0.15034320451600847
RET_R,QSC,-0.14538008257344093,0.14538008257344093
red dots,YiDC,0.14517429690808042,0.14517429690808042
